conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent,label
7.79,0.1,0.1,70.98,2.47,True
8.06,0.96,0.07,79.18,2.23,True
13.65,10.91,0.26,17.22,2.72,True
7.68,5.79,0.15,17.97,2.78,True
10.83,11.8,0.21,10.13,2.69,True
11.15,0.01,0.02,9.6,2.65,True
0.87,0.09,0.01,11.28,2.75,True
11.28,12.17,0.21,8.71,2.8,True
11.58,6.13,0.18,12.94,2.66,True
11.58,6.13,0.18,12.94,2.66,True
11.58,6.13,0.18,12.94,2.66,True
11.58,6.13,0.18,12.94,2.66,True
11.58,6.13,0.18,12.94,2.66,True
12.78,6.33,0.21,13.03,2.63,True
0.87,0.09,0.01,11.34,2.65,True
12.51,11.63,0.24,8.64,2.82,True
10.35,5.11,0.2,12.47,2.59,True
10.35,5.3,0.2,12.03,2.57,True
8.73,0.29,0.11,5.46,2.78,True
2.33,7.53,0.03,0.32,2.48,True
3.23,0.1,0.05,1.45,2.48,True
3.23,0.1,0.05,1.45,2.48,True
3.21,0.09,0.05,0.31,2.48,True
2.28,7.93,0.03,0.61,2.47,True
2.47,6.33,0.03,2.04,2.5,True
2.37,7.13,0.03,1.59,2.49,True
2.97,1.99,0.04,0.79,2.48,True
2.42,6.73,0.03,0.08,2.48,True
8.37,4.94,0.08,0.83,2.49,True
8.32,6.93,0.08,0.55,2.49,True
8.32,6.93,0.08,0.33,2.49,True
8.46,0.09,0.13,0.23,2.49,True
8.46,0.09,0.13,0.23,2.49,True
8.28,8.53,0.12,7.6,2.53,True
8.29,8.33,0.12,7.6,2.53,True
8.28,8.53,0.12,7.6,2.53,True
8.29,8.33,0.12,7.6,2.53,True
8.47,8.28,0.06,0.0,2.39,True
8.46,0.09,0.09,0.0,2.38,True
8.46,0.09,0.09,0.0,2.38,True
8.46,0.09,0.09,0.0,2.38,True
8.45,0.28,0.09,0.0,2.38,True
8.45,0.28,0.09,0.0,2.38,True
8.46,0.09,0.09,0.0,2.38,True
8.46,0.09,0.09,0.0,2.38,True
8.46,0.09,0.09,0.0,2.38,True
8.46,0.09,0.09,0.0,2.38,True
8.46,0.09,0.09,0.0,2.38,True
5.87,2.37,0.07,0.0,2.4,True
5.58,0.09,0.07,0.0,2.38,True
5.58,0.09,0.07,0.0,2.38,True
6.66,9.32,0.08,0.0,2.48,True
5.76,6.93,0.08,0.0,2.54,True
5.85,8.33,0.08,0.0,2.53,True
