,lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
10,-67.75,-29.0,4.0,202.0,-67.041,-28.791999999999998,0.066,872.0,-71.28,-28.01,9.02,-26.42,1.85,147.02,0.19,104.99,911.0,201.0,23.92,23.92,8.08,-4.01,-1.55,1.01,-7.19,-24.67,6.53,-3.0,49.25,0.12,38.48,119.04,2.2,SA_Porphyries
11,-65.87,-24.2,15.0,202.0,-62.871,-23.697,0.086,1015.0,-68.23,-23.34,12.75,-22.5,2.64,177.4,0.2,95.69,911.0,201.0,32.87,32.87,11.78,-4.88,-2.64,0.12,-10.31,-27.42,9.15,-4.75,83.18,0.23,7.71,149.49,2.56,SA_Porphyries
12,-69.08,-32.42,14.0,202.0,-66.325,-31.908,0.052000000000000005,1004.0,-69.83,-31.79,11.84,-12.24,2.52,177.47,0.2,95.93,911.0,201.0,24.85,24.85,11.57,-2.51,-2.52,0.11,-9.37,-14.8,9.06,-2.39,58.44,0.2,19.76,133.46,2.22,SA_Porphyries
13,-70.47,-37.43,45.0,2901.0,-58.81100000000001,-38.23,0.054000000000000006,1067.0,-62.71,-37.71,1.77,-10.24,2.47,-179.54,0.19,103.86,902.0,201.0,22.93,22.93,1.74,-0.31,-2.47,-0.02,0.81,-153.84,-0.73,-0.36,33.65,0.02,0.0,96.13,1.89,SA_Porphyries
14,-69.97,-32.57,9.0,2901.0,-68.378,-32.111,0.039,899.0,-71.02,-32.04,10.7,-14.62,1.75,155.87,0.2,96.08,911.0,201.0,19.77,19.77,10.36,-2.7,-1.6,0.72,-8.98,-12.72,8.76,-1.98,54.95,0.17,25.6,125.97,2.13,SA_Porphyries
15,-67.78,-24.57,29.0,202.0,-60.998999999999995,-24.554000000000002,0.055999999999999994,908.0,-64.52,-24.26,12.17,-19.57,2.84,-172.89,0.2,94.99,902.0,201.0,30.86,30.86,11.47,-4.08,-2.82,-0.35,-9.73,-27.14,8.66,-4.44,90.02,0.23,19.75,152.7,2.25,SA_Porphyries
16,-67.73,-24.58,31.0,202.0,-60.388999999999996,-24.669,0.057,1097.0,-63.96,-24.37,12.43,-19.57,2.93,-171.84,0.2,94.88,902.0,201.0,30.39,30.39,11.71,-4.16,-2.9,-0.42,-9.94,-27.5,8.82,-4.59,107.66,0.25,22.89,160.01,2.66,SA_Porphyries
17,-67.48,-16.92,23.0,201.0,-62.416000000000004,-16.609,0.08199999999999999,976.0,-66.57,-19.17,9.85,14.76,2.89,-134.57,0.2,56.06,911.0,201.0,30.89,37.85,9.52,2.51,-2.02,-2.06,-7.52,3.42,7.5,0.45,83.06,0.19,7.69,149.26,2.51,SA_Porphyries
18,-66.6,-18.44,21.0,201.0,-62.066,-18.029,0.084,998.0,-66.88,-19.57,11.97,11.77,2.88,-148.1,0.18,69.4,911.0,201.0,31.44,38.2,11.72,2.44,-2.45,-1.52,-9.31,5.67,9.27,0.92,80.23,0.21,7.73,147.64,2.56,SA_Porphyries
19,-66.45,-20.95,13.0,201.0,-63.963,-20.43,0.077,1081.0,-68.58,-21.32,11.92,4.52,2.66,-165.6,0.18,78.47,911.0,201.0,33.37,35.98,11.88,0.94,-2.58,-0.66,-9.31,1.75,9.31,0.28,73.62,0.2,6.53,144.0,2.57,SA_Porphyries
20,-66.03,-20.91,16.0,201.0,-62.776,-20.416,0.084,1112.0,-67.81,-21.35,12.61,-5.21,2.66,-165.22,0.18,78.34,911.0,201.0,33.37,34.37,12.56,-1.14,-2.57,-0.68,-10.15,-10.26,9.99,-1.81,70.04,0.21,8.69,140.88,2.57,SA_Porphyries
21,-66.79,-18.14,20.0,201.0,-62.523999999999994,-17.688,0.083,979.0,-67.15,-19.52,12.01,10.95,2.85,-149.05,0.18,69.45,911.0,201.0,31.44,34.06,11.79,2.28,-2.45,-1.47,-9.38,5.01,9.35,0.82,80.73,0.21,6.27,147.93,2.56,SA_Porphyries
22,-67.13,-17.95,15.0,201.0,-64.13,-17.447,0.079,990.0,-68.56,-19.12,12.44,3.27,2.68,-156.61,0.18,69.71,911.0,201.0,31.08,37.17,12.42,0.71,-2.46,-1.06,-9.96,-1.96,9.96,-0.34,74.03,0.22,10.04,142.44,2.58,SA_Porphyries
23,-66.19,-20.63,16.0,201.0,-62.93600000000001,-20.136,0.08199999999999999,1108.0,-67.85,-21.18,12.6,-5.21,2.66,-165.23,0.18,78.35,911.0,201.0,33.2,34.55,12.55,-1.14,-2.57,-0.68,-10.14,-10.28,9.97,-1.81,70.04,0.21,8.69,140.88,2.57,SA_Porphyries
24,-66.36,-20.48,16.0,201.0,-63.105,-19.986,0.08,1101.0,-67.92,-20.83,12.57,-5.22,2.66,-165.24,0.18,78.38,911.0,201.0,32.84,34.9,12.52,-1.14,-2.57,-0.68,-10.11,-10.31,9.94,-1.81,70.04,0.21,9.43,140.88,2.57,SA_Porphyries
25,-69.17,-23.16,44.0,202.0,-58.22,-23.885,0.032,1148.0,-60.23,-23.84,4.71,3.77,2.61,-170.7,0.18,93.44,902.0,201.0,34.61,37.14,4.7,0.31,-2.58,-0.42,-2.13,-3.64,2.12,-0.13,88.52,0.09,25.25,152.03,2.55,SA_Porphyries
26,-69.23,-27.87,14.0,202.0,-66.475,-27.358,0.04,1037.0,-68.96,-26.8,11.93,-21.42,2.6,168.35,0.19,104.79,911.0,201.0,29.92,29.92,11.1,-4.36,-2.54,0.52,-9.38,-24.07,8.56,-3.82,67.13,0.19,10.77,138.23,2.36,SA_Porphyries
27,-69.26,-20.04,52.0,201.0,-56.523,-20.62,0.034,1188.0,-58.53,-21.09,5.67,21.15,2.53,162.15,0.17,86.97,902.0,201.0,31.98,44.09,5.29,2.05,-2.41,0.77,-4.02,44.27,2.88,2.8,79.9,0.09,28.94,147.48,2.51,SA_Porphyries
28,-69.08,-24.13,37.0,202.0,-60.003,-24.522,0.035,1157.0,-62.2,-24.47,9.49,8.78,3.01,-175.41,0.2,94.71,902.0,201.0,35.58,37.1,9.38,1.45,-3.0,-0.24,-6.49,10.48,6.38,1.18,98.5,0.19,11.63,156.31,2.6,SA_Porphyries
29,-68.9,-22.28,33.0,201.0,-61.038999999999994,-22.500999999999998,0.035,1114.0,-63.23,-22.45,10.05,6.39,3.05,-174.82,0.18,93.78,902.0,201.0,31.94,31.94,9.99,1.12,-3.04,-0.28,-7.0,6.71,6.96,0.82,101.31,0.19,15.64,157.43,2.6,SA_Porphyries
30,-68.71,-20.96,32.0,201.0,-61.153,-21.121,0.040999999999999995,1102.0,-63.59,-21.69,12.74,-1.96,2.95,-154.56,0.18,77.54,902.0,201.0,32.9,32.9,12.73,-0.44,-2.67,-1.27,-10.21,-9.66,10.07,-1.71,103.52,0.24,18.73,158.13,2.61,SA_Porphyries
31,-68.74,-21.95,36.0,201.0,-60.00100000000001,-22.294,0.038,1174.0,-62.34,-22.4,10.02,9.34,3.06,-174.75,0.18,93.75,902.0,201.0,33.55,39.27,9.89,1.63,-3.05,-0.28,-6.97,10.9,6.84,1.32,97.67,0.19,12.22,155.98,2.58,SA_Porphyries
32,-68.89,-20.92,35.0,201.0,-60.467,-21.224,0.038,1163.0,-62.77,-21.66,10.17,25.4,3.07,-158.67,0.18,77.47,902.0,201.0,32.84,40.13,9.19,4.36,-2.86,-1.12,-7.11,26.94,6.34,3.22,99.06,0.17,12.74,156.54,2.59,SA_Porphyries
33,-70.3,-33.15,5.0,2901.0,-69.41199999999999,-32.89,0.035,853.0,-71.78,-32.63,10.7,-14.8,1.76,155.18,0.2,96.06,911.0,201.0,19.33,19.33,10.34,-2.73,-1.6,0.74,-8.97,-12.8,8.75,-1.99,40.29,0.15,54.34,111.18,2.13,SA_Porphyries
34,-69.72,-18.29,14.0,201.0,-66.96600000000001,-17.778,0.038,1039.0,-68.9,-18.94,11.88,26.84,2.68,-143.45,0.2,56.48,911.0,201.0,30.89,37.91,10.6,5.37,-2.15,-1.6,-9.25,24.08,8.45,3.78,75.16,0.2,9.16,144.44,2.59,SA_Porphyries
35,-69.55,-26.25,42.0,202.0,-59.028,-26.88300000000001,0.031,1119.0,-61.0,-26.85,8.27,-26.5,2.59,-171.61,0.2,94.62,902.0,201.0,34.27,34.27,7.4,-3.69,-2.57,-0.38,-6.33,-40.21,4.83,-4.09,94.74,0.15,20.22,154.78,2.58,SA_Porphyries
36,-69.08,-22.99,29.0,202.0,-62.321999999999996,-22.991,0.033,920.0,-64.38,-22.75,12.34,-18.38,2.85,-172.02,0.18,94.03,902.0,201.0,32.38,32.38,11.71,-3.89,-2.83,-0.4,-9.88,-25.8,8.89,-4.3,94.18,0.22,19.75,154.48,2.25,SA_Porphyries
37,-70.46,-34.09,5.0,2901.0,-69.57300000000001,-33.83,0.036000000000000004,849.0,-71.94,-33.19,10.67,-29.46,1.75,140.36,0.19,110.76,911.0,201.0,18.75,18.75,9.29,-5.25,-1.35,1.12,-8.96,-27.44,7.95,-4.13,40.29,0.13,54.34,106.59,2.13,SA_Porphyries
38,-69.06,-22.97,41.0,202.0,-58.867,-23.545,0.034,1143.0,-60.97,-23.51,8.8,-23.51,2.61,-170.79,0.18,93.67,902.0,201.0,34.44,37.68,8.07,-3.51,-2.58,-0.42,-6.77,-35.69,5.5,-3.95,93.36,0.15,18.32,154.19,2.57,SA_Porphyries
39,-68.82,-23.41,42.0,202.0,-58.365,-24.029,0.038,1145.0,-60.75,-23.93,8.76,-24.9,2.61,-171.66,0.2,94.51,902.0,201.0,34.8,37.2,7.95,-3.69,-2.58,-0.38,-6.75,-37.28,5.37,-4.09,91.85,0.16,20.22,153.54,2.56,SA_Porphyries
40,-69.87,-26.77,63.0,202.0,-55.115,-26.859,0.027000000000000003,1283.0,-56.81,-26.67,4.42,-8.56,1.16,-171.83,0.2,95.12,902.0,201.0,36.75,36.75,4.37,-0.66,-1.14,-0.16,-3.34,-14.26,3.23,-0.82,69.75,0.08,27.41,140.49,2.48,SA_Porphyries
41,-69.08,-24.2,38.0,202.0,-59.707,-24.635,0.035,1159.0,-61.91,-24.51,9.51,8.61,3.01,-175.24,0.2,94.71,902.0,201.0,35.58,36.96,9.4,1.42,-3.0,-0.25,-6.5,10.15,6.4,1.15,98.3,0.19,13.48,156.23,2.6,SA_Porphyries
42,-69.88,-28.63,34.0,202.0,-61.596000000000004,-28.908,0.033,1080.0,-63.73,-28.53,8.27,1.33,2.92,175.25,0.19,103.88,902.0,201.0,33.29,33.29,8.26,0.19,-2.91,0.24,-5.37,4.34,5.35,0.41,107.36,0.17,18.74,159.89,2.7,SA_Porphyries
43,-69.28,-27.27,22.0,202.0,-64.404,-26.921999999999997,0.037000000000000005,978.0,-66.74,-26.61,11.79,-23.25,2.81,177.34,0.19,104.35,911.0,201.0,30.68,30.68,10.84,-4.66,-2.81,0.13,-9.22,-29.4,8.03,-4.52,78.72,0.2,7.69,146.73,2.56,SA_Porphyries
44,-69.08,-20.18,31.0,201.0,-61.815,-20.29,0.036000000000000004,1091.0,-64.0,-20.6,12.88,-11.75,2.96,-164.68,0.17,87.57,902.0,201.0,31.98,34.19,12.61,-2.62,-2.86,-0.78,-10.34,-19.29,9.76,-3.42,104.31,0.23,21.46,158.63,2.61,SA_Porphyries
45,-69.03,-27.23,13.0,202.0,-66.538,-26.708000000000002,0.04,1041.0,-69.11,-26.42,11.93,-21.57,2.6,168.24,0.19,104.79,911.0,201.0,30.85,30.85,11.09,-4.38,-2.55,0.53,-9.37,-24.24,8.55,-3.85,69.51,0.2,9.3,140.22,2.43,SA_Porphyries
46,-69.51,-23.45,58.0,202.0,-55.488,-23.581999999999997,0.027000000000000003,1279.0,-57.17,-23.43,0.78,6.45,1.68,149.73,0.2,94.24,902.0,201.0,34.8,40.83,0.77,0.09,-1.45,0.85,1.15,126.5,-0.68,0.92,72.81,0.01,25.37,142.86,2.47,SA_Porphyries
47,-68.91,-22.38,34.0,201.0,-60.753,-22.643,0.035,1135.0,-62.94,-22.49,9.94,9.7,3.06,-175.09,0.18,93.77,902.0,201.0,33.73,39.38,9.79,1.67,-3.05,-0.26,-6.89,11.59,6.75,1.38,100.15,0.18,13.89,156.97,2.6,SA_Porphyries
48,-69.24,-22.56,64.0,201.0,-54.413999999999994,-22.675,0.03,1321.0,-56.29,-22.67,5.22,-6.28,1.4,-171.79,0.18,94.31,902.0,201.0,34.08,40.64,5.19,-0.57,-1.39,-0.2,-3.89,-11.43,3.81,-0.77,64.36,0.08,34.81,135.86,2.43,SA_Porphyries
49,-69.02,-27.17,13.0,202.0,-66.528,-26.648000000000003,0.040999999999999995,1042.0,-69.08,-26.24,11.93,-12.71,2.61,177.1,0.2,95.92,911.0,201.0,31.04,31.04,11.64,-2.63,-2.6,0.13,-9.37,-15.39,9.04,-2.49,69.51,0.21,9.3,140.22,2.43,SA_Porphyries
50,-68.97,-22.47,36.0,201.0,-60.222,-22.818,0.034,1171.0,-62.36,-22.75,9.92,9.43,3.05,-174.74,0.18,93.76,902.0,201.0,33.9,38.92,9.79,1.63,-3.04,-0.28,-6.88,11.04,6.75,1.32,98.63,0.18,12.22,156.36,2.59,SA_Porphyries
51,-69.12,-23.3,40.0,202.0,-59.178000000000004,-23.826,0.033,1152.0,-61.25,-23.82,8.78,-20.61,2.68,-171.92,0.2,94.67,902.0,201.0,34.8,37.44,8.21,-3.09,-2.65,-0.38,-6.57,-32.06,5.57,-3.49,94.83,0.17,21.54,154.81,2.58,SA_Porphyries
52,-69.42,-26.49,37.0,202.0,-60.295,-26.886999999999997,0.033,1136.0,-62.42,-26.8,8.85,9.42,2.96,-175.33,0.2,94.81,902.0,201.0,34.76,34.76,8.73,1.45,-2.95,-0.24,-5.9,11.54,5.78,1.18,101.41,0.18,17.98,157.49,2.65,SA_Porphyries
53,-68.8,-21.0,36.0,201.0,-60.08,-21.345,0.039,1163.0,-62.43,-21.88,10.15,25.36,3.07,-158.48,0.18,77.45,902.0,201.0,33.02,39.81,9.17,4.35,-2.85,-1.13,-7.09,26.8,6.33,3.2,97.67,0.17,12.22,155.98,2.58,SA_Porphyries
54,-68.97,-19.87,36.0,201.0,-60.273,-20.218,0.039,1145.0,-62.61,-20.68,10.45,33.59,3.09,-149.77,0.18,68.68,902.0,201.0,31.8,41.02,8.71,5.78,-2.67,-1.56,-7.36,34.78,6.05,4.2,96.7,0.17,14.14,155.58,2.57,SA_Porphyries
55,-69.27,-27.38,23.0,202.0,-64.11399999999999,-27.081,0.037000000000000005,981.0,-66.46,-26.66,9.16,-34.96,2.81,177.48,0.19,104.3,911.0,201.0,30.23,30.23,7.51,-5.25,-2.81,0.12,-6.96,-47.52,4.7,-5.13,79.59,0.14,5.82,147.28,2.56,SA_Porphyries
56,-70.3,-28.5,64.0,202.0,-55.416000000000004,-28.623,0.027000000000000003,1267.0,-57.12,-28.35,4.05,-18.76,1.05,-179.82,0.19,104.43,902.0,201.0,34.9,34.9,3.84,-1.3,-1.05,-0.0,-3.08,-25.1,2.79,-1.31,69.62,0.07,24.51,140.39,2.48,SA_Porphyries
57,-69.34,-22.88,64.0,202.0,-54.511,-22.996,0.028999999999999998,1319.0,-56.31,-22.85,5.19,-6.33,1.39,-171.73,0.18,94.32,902.0,201.0,34.26,40.46,5.16,-0.57,-1.37,-0.2,-3.86,-11.51,3.78,-0.77,64.36,0.08,34.81,135.86,2.43,SA_Porphyries
58,-69.3,-22.84,57.0,202.0,-55.442,-23.034000000000002,0.03,1285.0,-57.28,-22.96,1.01,11.63,1.68,150.71,0.18,93.34,902.0,201.0,34.26,41.52,0.99,0.2,-1.47,0.82,1.13,115.71,-0.49,1.02,71.45,0.02,25.03,141.78,2.46,SA_Porphyries
59,-68.95,-22.42,38.0,201.0,-59.614,-22.853,0.035,1173.0,-61.77,-22.84,9.96,9.11,3.05,-174.39,0.18,93.75,902.0,201.0,33.9,38.63,9.83,1.58,-3.03,-0.3,-6.91,10.42,6.8,1.25,96.53,0.18,11.82,155.51,2.58,SA_Porphyries
60,-68.64,-20.99,35.0,201.0,-60.215,-21.29,0.042,1167.0,-62.73,-21.84,10.13,25.52,3.07,-158.65,0.18,77.46,902.0,201.0,33.02,39.95,9.14,4.36,-2.86,-1.12,-7.07,27.1,6.29,3.22,99.06,0.17,12.74,156.54,2.59,SA_Porphyries
61,-70.23,-32.88,11.0,2901.0,-68.27,-32.336,0.036000000000000004,908.0,-70.68,-32.15,11.83,-12.72,2.52,177.07,0.2,96.11,911.0,201.0,19.82,19.82,11.54,-2.6,-2.51,0.13,-9.36,-15.3,9.02,-2.47,60.98,0.2,22.27,132.49,2.13,SA_Porphyries
62,-69.09,-24.24,39.0,202.0,-59.422,-24.72,0.035,1152.0,-61.62,-24.55,9.52,8.44,3.01,-175.06,0.2,94.7,902.0,201.0,35.58,36.81,9.42,1.4,-3.0,-0.26,-6.52,9.82,6.42,1.11,96.85,0.19,15.89,155.64,2.6,SA_Porphyries
63,-77.32,8.49,48.0,229.0,-75.793,6.785,0.064,602.0,-77.66,3.63,4.54,78.91,-4.54,70.6,0.2,11.97,902.0,2015.0,0.1,0.1,0.87,4.46,1.51,4.28,-9.06,75.52,2.27,8.77,58.78,0.02,5.28,142.52,2.46,SA_Porphyries
64,-76.75,7.05,55.0,201.0,-63.99100000000001,6.528,0.027999999999999997,861.0,-65.38,5.71,3.56,38.16,2.63,-171.95,0.17,62.18,224.0,201.0,0.54,75.44,2.8,2.2,-2.61,-0.37,-1.84,83.98,0.19,1.83,121.69,0.05,45.1,166.97,2.29,SA_Porphyries
65,-76.5,6.7,43.0,201.0,-66.46,5.8660000000000005,0.028999999999999998,826.0,-67.97,5.12,4.1,20.81,2.45,-145.1,0.12,71.15,224.0,201.0,0.85,71.03,3.83,1.46,-2.01,-1.4,-1.82,1.45,1.82,0.05,126.18,0.05,39.72,169.83,2.34,SA_Porphyries
66,-76.88,2.1,17.0,201.0,-73.421,2.555,0.043,615.0,-75.33,4.1,2.26,-15.11,2.64,151.01,0.19,123.52,224.0,201.0,3.45,63.79,2.19,-0.59,-2.31,1.28,0.7,100.17,-0.12,0.69,158.91,0.05,19.54,217.14,2.45,SA_Porphyries
67,-79.15,-1.67,20.0,201.0,-74.954,-1.281,0.04,596.0,-77.22,-0.94,11.35,-11.04,2.86,-172.28,0.12,94.44,911.0,201.0,9.15,56.36,11.14,-2.17,-2.83,-0.38,-8.69,-17.07,8.31,-2.55,52.56,0.11,22.01,123.25,2.11,SA_Porphyries
68,-79.12,-1.38,20.0,201.0,-74.926,-0.991,0.04,604.0,-77.12,-0.42,11.32,-22.41,2.85,176.41,0.14,105.76,911.0,201.0,8.62,56.88,10.46,-4.31,-2.85,0.18,-8.66,-28.47,7.62,-4.13,52.71,0.12,22.01,123.42,2.21,SA_Porphyries
69,-79.42,-2.93,11.0,201.0,-77.392,-2.376,0.038,592.0,-79.57,-2.15,11.01,-9.16,2.69,178.45,0.14,96.08,911.0,201.0,10.56,53.6,10.87,-1.75,-2.69,0.07,-8.35,-11.56,8.18,-1.67,37.34,0.11,41.04,102.19,2.04,SA_Porphyries
70,-79.33,-3.58,10.0,201.0,-77.49600000000002,-3.062,0.040999999999999995,565.0,-79.83,-2.75,10.45,-11.98,2.2,162.51,0.2,96.81,911.0,201.0,11.12,53.68,10.22,-2.17,-2.09,0.66,-8.27,-10.47,8.13,-1.5,29.54,0.13,69.32,89.82,1.95,SA_Porphyries
71,-79.68,-3.05,19.0,201.0,-75.718,-2.6439999999999997,0.034,512.0,-77.66,-2.48,10.2,-17.03,2.7,178.53,0.2,96.49,911.0,201.0,10.73,55.4,9.75,-2.99,-2.7,0.07,-7.63,-22.35,7.06,-2.9,51.15,0.16,27.18,121.49,2.07,SA_Porphyries
72,-78.58,0.33,7.0,201.0,-77.296,0.6970000000000001,0.037000000000000005,587.0,-79.24,1.57,10.11,-29.53,2.12,141.19,0.14,113.36,911.0,201.0,6.47,57.56,8.8,-4.98,-1.65,1.33,-8.03,-27.04,7.15,-3.65,26.61,0.07,86.72,85.01,1.96,SA_Porphyries
73,-80.0,-4.33,14.0,201.0,-77.244,-3.83,0.031,645.0,-79.03,-3.75,11.12,-9.27,2.7,178.03,0.2,96.69,911.0,201.0,12.11,56.69,10.97,-1.79,-2.7,0.09,-8.45,-11.55,8.28,-1.69,38.68,0.15,34.93,104.25,2.12,SA_Porphyries
74,-79.58,-4.2,14.0,201.0,-76.825,-3.699,0.038,657.0,-78.98,-3.36,11.09,-9.3,2.7,178.03,0.2,96.69,911.0,201.0,11.71,57.09,10.94,-1.79,-2.7,0.09,-8.42,-11.59,8.25,-1.69,39.29,0.15,34.49,105.17,2.12,SA_Porphyries
75,-79.13,-1.57,15.0,201.0,-76.139,-1.0859999999999999,0.04,631.0,-78.44,-0.95,10.04,-22.54,2.68,174.5,0.11,100.25,911.0,201.0,9.26,58.99,9.27,-3.85,-2.67,0.26,-7.51,-28.45,6.6,-3.58,44.28,0.08,27.45,112.41,2.1,SA_Porphyries
76,-77.9,-8.56,5.0,201.0,-76.985,-8.296,0.046,580.0,-79.17,-9.8,10.75,25.45,2.09,-164.45,0.2,58.5,911.0,201.0,18.33,45.54,9.7,4.62,-2.01,-0.56,-8.7,27.86,7.69,4.06,39.55,0.14,63.89,105.54,2.16,SA_Porphyries
77,-78.18,-8.17,10.0,201.0,-76.35,-7.653,0.045,644.0,-78.57,-9.05,10.78,25.95,2.18,-159.37,0.2,58.57,911.0,201.0,17.74,47.07,9.69,4.72,-2.04,-0.77,-8.61,27.33,7.65,3.95,50.43,0.15,44.87,120.63,2.13,SA_Porphyries
78,-71.35,-14.96,36.0,201.0,-62.748999999999995,-15.349,0.055999999999999994,1043.0,-65.15,-17.56,11.13,53.96,3.14,-126.27,0.19,45.09,902.0,201.0,27.81,45.01,6.55,9.0,-1.86,-2.53,-7.99,53.86,4.71,6.45,94.35,0.13,17.21,154.6,2.55,SA_Porphyries
79,-79.28,-6.08,15.0,201.0,-76.278,-5.597,0.040999999999999995,627.0,-78.5,-6.41,10.81,9.94,2.71,-153.99,0.19,68.71,911.0,201.0,14.84,53.42,10.65,1.87,-2.43,-1.19,-8.24,4.82,8.21,0.69,60.09,0.18,31.36,131.7,2.27,SA_Porphyries
80,-78.61,-6.76,11.0,201.0,-76.584,-6.206,0.048,628.0,-79.13,-7.23,11.37,17.99,2.71,-154.41,0.19,68.83,911.0,201.0,15.81,48.36,10.82,3.51,-2.44,-1.17,-8.69,15.67,8.37,2.35,46.41,0.16,68.65,112.09,2.12,SA_Porphyries
81,-76.25,-10.63,14.0,201.0,-73.488,-10.124,0.051,751.0,-75.96,-11.73,11.62,28.06,2.71,-143.94,0.2,58.14,911.0,201.0,20.87,47.93,10.26,5.47,-2.19,-1.6,-8.94,25.69,8.06,3.88,63.51,0.18,24.68,135.06,2.32,SA_Porphyries
82,-72.33,-14.03,36.0,201.0,-63.747,-14.436,0.059000000000000004,1039.0,-65.31,-17.45,11.15,74.18,3.14,-105.88,0.19,24.7,902.0,201.0,27.62,45.21,3.04,10.73,-0.86,-3.02,-8.01,74.01,2.21,7.7,94.35,0.06,17.21,154.6,2.55,SA_Porphyries
83,-71.36,-16.77,50.0,201.0,-59.177,-17.565,0.033,1127.0,-60.6,-18.92,6.01,50.67,2.58,-154.92,0.19,44.32,902.0,201.0,29.14,41.99,3.81,4.65,-2.34,-1.09,-3.84,67.32,1.48,3.54,79.69,0.07,30.62,148.22,2.5,SA_Porphyries
84,-71.77,-14.46,33.0,201.0,-64.056,-14.729000000000001,0.057999999999999996,998.0,-66.03,-17.43,11.18,51.58,3.13,-126.27,0.19,45.11,902.0,201.0,27.81,37.86,6.95,8.76,-1.85,-2.52,-8.06,50.56,5.12,6.22,98.17,0.14,12.99,156.17,2.56,SA_Porphyries
