conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
14.95,8.16,0.2,19.99,2.1
15.0,2.74,0.14,18.24,1.92
15.0,3.69,0.13,18.24,1.92
15.0,3.69,0.13,18.24,1.92
14.99,0.28,0.13,18.4,2.12
14.99,1.22,0.13,18.4,2.0
14.04,0.09,0.17,18.4,2.12
14.04,0.09,0.17,18.4,2.12
14.99,0.09,0.13,18.4,2.12
14.04,0.09,0.17,18.4,2.12
14.99,0.09,0.13,18.4,2.12
14.99,1.03,0.13,18.4,2.0
14.99,0.09,0.13,18.4,2.12
14.99,0.85,0.13,18.4,1.99
14.94,8.35,0.19,21.51,2.1
13.88,0.99,0.17,18.4,2.12
13.97,0.45,0.17,18.4,2.12
13.78,1.55,0.18,18.4,2.22
13.54,2.86,0.18,16.19,2.22
13.64,2.3,0.18,18.4,2.22
13.25,4.35,0.17,16.19,2.2
14.79,13.02,0.16,76.53,1.93
14.84,11.95,0.16,76.53,1.99
9.92,18.1,0.06,28.21,1.75
14.71,14.78,0.1,76.68,1.92
14.75,14.08,0.1,76.53,1.94
9.66,19.39,0.05,25.08,1.69
9.7,19.2,0.05,25.08,1.69
9.62,19.58,0.06,25.08,1.69
9.62,19.58,0.06,25.08,1.69
9.34,20.9,0.07,25.08,1.67
9.42,20.52,0.05,25.08,1.65
9.58,19.77,0.06,25.08,1.65
9.04,22.31,0.08,0.58,1.7
8.43,25.11,0.11,12.51,1.91
8.51,24.75,0.11,12.51,1.91
8.63,24.23,0.11,12.51,1.91
9.07,22.14,0.05,0.58,1.67
9.22,21.46,0.05,0.58,1.67
9.04,22.31,0.08,0.58,1.7
9.38,20.71,0.07,25.08,1.67
9.25,21.28,0.06,0.58,1.67
5.81,20.09,0.02,42.23,1.93
5.93,21.28,0.03,36.25,1.99
5.89,20.88,0.03,39.57,1.95
5.97,21.68,0.03,36.25,1.99
6.55,25.12,0.07,26.69,1.95
6.64,25.5,0.08,23.68,1.97
6.13,22.85,0.05,32.75,2.03
7.26,28.19,0.09,23.2,1.96
7.39,28.76,0.09,23.2,2.04
6.86,26.47,0.08,23.82,1.94
7.79,28.01,0.1,22.43,2.13
7.92,27.45,0.1,22.43,2.16
7.66,28.57,0.1,22.21,2.14
6.64,25.5,0.08,23.68,1.97
-3.84,6.11,0.0,35.65,1.61
-3.84,6.11,0.0,35.65,1.61
-3.84,5.95,0.0,35.65,1.61
3.84,8.8,0.0,12.39,1.63
-3.84,6.8,0.0,35.65,1.61
3.8,11.2,0.01,53.76,1.8
3.8,11.58,0.01,49.58,1.8
3.82,10.31,0.01,53.76,1.75
5.0,14.14,0.04,44.62,1.86
5.09,14.52,0.04,44.62,1.86
4.96,13.94,0.04,44.62,1.86
3.8,11.76,0.0,49.58,1.83
-3.84,6.8,0.0,35.65,1.61
3.83,9.2,0.0,39.43,1.75
5.36,15.67,0.05,41.0,1.9
5.09,14.52,0.04,44.62,1.86
5.23,15.1,0.04,41.0,1.9
4.91,13.75,0.04,47.42,1.85
3.8,11.58,0.01,49.58,1.8
5.36,15.67,0.05,41.0,1.9
5.23,15.1,0.04,41.0,1.9
5.4,15.86,0.02,46.6,1.9
5.36,15.67,0.05,41.0,1.9
5.52,17.0,0.03,46.6,1.92
5.42,16.05,0.02,46.6,1.92
5.49,16.81,0.02,46.6,1.92
5.4,15.86,0.02,46.6,1.9
5.4,15.86,0.02,46.6,1.9
5.65,18.14,0.03,42.9,1.93
5.73,19.11,0.02,42.9,1.93
5.76,19.5,0.02,39.93,1.96
5.7,18.72,0.02,42.9,1.93
5.56,17.38,0.03,46.6,1.92
5.62,17.95,0.03,46.6,1.92
5.67,18.33,0.03,42.9,1.93
5.6,17.76,0.03,46.6,1.92
5.36,15.67,0.05,41.0,1.9
5.36,15.67,0.05,41.0,1.9
5.4,15.86,0.02,46.6,1.9
5.4,15.86,0.02,46.6,1.9
9.3,21.09,0.06,25.08,1.67
14.62,16.51,0.09,30.37,1.74
8.93,22.83,0.08,2.6,1.7
9.14,21.8,0.05,0.58,1.67
8.43,25.11,0.11,12.51,1.91
8.59,24.4,0.11,12.51,1.91
8.66,24.05,0.11,12.51,1.9
9.18,21.63,0.05,0.58,1.67
7.7,28.39,0.1,22.21,2.13
7.92,27.45,0.1,22.43,2.16
6.99,27.04,0.08,23.82,1.94
7.39,28.76,0.09,23.2,2.04
7.57,28.95,0.09,22.21,2.0
6.73,25.89,0.08,23.68,1.97
8.0,27.08,0.1,22.43,2.15
9.43,17.56,0.06,28.32,1.78
8.98,1.09,0.07,26.86,1.79
14.51,8.03,0.2,17.21,2.18
7.49,27.13,0.09,19.88,2.18
4.99,14.9,0.04,44.59,1.88
8.87,0.87,0.01,28.86,1.79
-8.78,4.57,0.0,33.63,1.72
8.84,2.08,0.02,28.86,1.76
-8.87,0.07,0.0,28.86,1.81
9.39,5.6,0.08,19.17,1.84
14.32,12.71,0.17,57.64,2.08
14.6,2.41,0.15,19.87,2.01
13.74,0.09,0.17,15.73,2.2
8.69,21.32,0.06,2.46,1.78
5.49,19.7,0.02,41.02,1.95
6.37,26.08,0.07,23.85,2.0
4.0,9.97,0.01,27.07,1.68
5.25,16.62,0.02,47.16,1.91
9.73,10.0,0.09,22.71,1.91
9.9,12.51,0.11,22.66,1.92
8.92,0.49,0.07,27.53,1.81
9.11,2.47,0.07,25.37,1.81
-8.78,4.57,0.0,33.63,1.72
8.79,3.67,0.01,33.22,1.73
8.79,3.35,0.01,33.22,1.74
8.88,0.1,0.07,28.86,1.81
8.88,0.1,0.07,28.86,1.81
8.86,1.18,0.01,28.86,1.79
-8.87,0.07,0.0,28.86,1.81
-8.87,0.07,0.0,28.86,1.81
9.51,7.13,0.09,21.34,1.87
9.2,3.46,0.08,25.37,1.82
9.11,19.26,0.05,22.42,1.75
14.06,17.21,0.08,28.32,1.78
14.19,15.05,0.11,37.16,1.8
14.5,8.42,0.2,17.21,2.18
14.44,9.97,0.19,20.16,2.16
14.55,6.26,0.21,9.61,1.89
14.48,8.8,0.19,17.21,2.25
14.6,2.41,0.15,19.87,2.01
14.52,7.44,0.2,17.21,2.18
13.69,0.44,0.17,15.73,2.2
14.61,0.1,0.15,15.73,2.2
13.44,1.88,0.19,13.25,2.33
