lon,lat
-88.39999368,18.50258234
-88.48091008,18.50575554
-88.55229391,18.43080251
-88.58084744,18.33800354
-88.62724693,18.23806617
-88.68792319,18.20594345
-88.71290753,18.14883639
-88.73432268,18.07745256
-88.84139842,17.97037681
-88.86995195,17.91326975
-88.90207468,17.93825409
-88.94847417,17.97751519
-89.00915042,18.02391468
-89.07696506,18.03819145
-89.12336455,18.00249953
-89.16976404,17.95610004
-89.16619485,17.83117834
-90.98648252,17.83831672
-91.00432848,17.27081527
-91.46118499,17.25653851
-91.40764712,17.19229306
-91.2042032,17.02097187
-90.97577494,16.8389431
-90.72950073,16.7140214
-90.64384013,16.49986991
-90.61885579,16.47131638
-90.42611945,16.40707093
-90.45110379,16.23931893
-90.43325783,16.0822745
-91.73601273,16.08941289
-92.21071521,15.27206803
-92.06794755,15.07933169
-92.10363946,15.05077816
-92.13219299,14.97582513
-92.15717733,14.9044413
-92.18573087,14.79022718
-92.15717733,14.66530547
-92.20000763,14.59035245
-92.21416316,14.56946725
-92.59463128,14.91685119
-92.99913965,15.39274339
-93.79625909,15.96381403
-94.47440548,16.27314396
-95.03357881,16.32073318
-95.39049796,16.10658169
-95.99726052,15.83294368
-96.48505003,15.71397063
-96.8895584,15.84484098
-97.31786138,15.99950595
-97.74616436,16.03519786
-98.21015925,16.23745205
-98.53138649,16.39211701
-98.62656493,16.53488467
-98.94779217,16.66575503
-99.5069655,16.78472808
-100.0542415,16.99887957
-100.7561825,17.26062028
-101.2082801,17.5342583
-101.5770966,17.84358823
-101.9340157,18.03394511
-102.4455998,18.06963702
-103.349795,18.35517234
-103.5163573,18.66450227
-104.0874279,19.02142142
-104.7893689,19.36644327
-105.1700827,19.74715703
-105.5983857,20.33012498
-105.2057746,20.46099533
-105.0749043,20.69894143
-105.4437207,20.82981179
-105.1700827,21.19862824
-105.063007,21.47226626
-105.3009531,21.66262314
-105.4437207,21.96005577
-105.6340776,22.57871563
-106.1932509,23.11409435
-106.5144782,23.56619195
-107.0974461,24.1610572
-107.5852356,24.51797635
-107.8588736,24.81540897
-107.9778467,25.1247389
-108.3466631,25.31509578
-108.6203012,25.52924728
-108.9296311,25.70770685
-109.1794745,25.73150146
-109.3103448,25.94565295
-109.2032691,26.26688019
-109.238961,26.55241551
-109.3698314,26.73087508
-109.7029559,26.766567
-109.786237,26.95692388
-110.0003885,27.18297267
-110.2621292,27.23056189
-110.4405888,27.51609722
-110.4167942,27.74214601
-110.5476646,27.9444002
-110.7618161,28.01578403
-111.1068379,28.08716786
-111.2971948,28.27752474
-111.618422,28.53926545
-111.9872385,29.03895226
-112.2846711,29.44346063
-112.629693,29.93125014
-112.6653849,30.18109354
-112.9747148,30.66888305
-112.9152283,30.93062376
-112.9747148,31.25185099
-113.4744016,31.37082404
-113.6290666,31.58497554
-113.9264992,31.66825667
-114.2239318,31.63256476
-114.7117213,31.98948391
-114.9020782,31.75153781
-115.009154,31.15667255
-114.7236186,30.74026688
-114.7236186,30.09781241
-114.3904941,29.74089326
-113.7361423,29.28879566
-113.605272,28.84859538
-113.3078393,28.70582772
-112.9509202,28.38460048
-112.8557417,27.99198942
-112.6653849,27.57558374
-112.1775954,27.08779423
-111.8682654,26.48103168
-111.5113463,26.24308558
-111.2615029,25.66011763
-110.7261241,24.81540897
-110.8807891,24.60125748
-110.5357673,24.08967337
-110.1550535,24.10157067
-109.8457236,23.74465152
-109.4531125,23.26875932
-109.667264,23.13788896
-109.940902,22.93563478
-110.0479778,23.36393776
-110.4048969,23.72085691
-110.916481,24.12536528
-111.5232436,24.57746287
-111.9396493,24.8748955
-111.9158546,25.05335507
-111.9515466,25.64822033
-112.1656981,26.17170175
-112.6177956,26.46913437
-112.9866121,26.69518317
-113.4625043,26.90933466
-113.9383965,27.06399962
-114.3310076,27.39712416
-114.7831052,27.7064541
-114.2477264,27.78973523
-113.9383965,28.21803821
-114.0097803,28.64634119
-114.4023914,29.12223339
-115.1995108,29.58622829
-115.4731489,29.75279056
-115.675403,30.26437468
-115.830068,30.71647227
-116.1275006,31.14477525
-116.4844198,31.66825667
-116.5558036,31.9656893
-116.8770308,32.38209497
-117.079285,32.88178178
-117.4718961,33.52423625
-118.1024533,33.92874463
-118.4593724,34.08340959
-119.066135,34.28566378
-119.768076,34.53550718
-120.5057089,34.5830964
-120.4938116,34.94001555
-120.6365792,35.33262662
-120.9221146,35.55867541
-121.7668232,36.32010294
-121.6954394,36.59374095
-121.8857963,37.04583854
-122.3140992,37.35516847
-122.7186076,38.19987713
-123.4562405,39.03268848
-123.4919324,39.27063458
-124.1462842,40.43657048
-123.8607489,41.26938183
-124.1700788,42.29255006
-124.1819761,42.74464765
-123.9559273,44.01765929
-123.7179812,45.58810355
-123.9559273,47.08716399
-124.25336,47.89618073
-124.6578683,48.83606783
-125.6691393,49.37144655
-127.2514808,50.14477138
-128.2270598,50.75153394
-127.5013242,51.22742614
-127.3109674,51.44157763
-127.5846054,51.78659947
-127.9177299,52.66700005
-128.738644,53.33324913
-129.5119688,53.69016828
-130.1187313,54.35641736
-130.689802,55.18922871
-131.0110292,56.04583468
-131.4512295,56.14101312
-132.2483489,56.75967298
-133.0454684,57.73525199
-133.497566,57.94940348
-134.4374531,58.48478221
-135.4963132,58.59185795
-136.3410219,58.41339838
-137.1738332,58.54426873
-137.8519796,58.97257171
-138.9941209,59.86486959
-139.5413969,60.15040491
-140.6954355,59.87676689
-142.5395178,60.25748066
-144.0147836,60.20989144
-144.9427734,60.3645564
-145.4543575,60.62629711
-146.3466554,61.03080548
-147.0604937,61.28064889
-147.6315643,61.11408662
-148.3573,60.45973484
-148.630938,60.09091838
-149.0949329,60.24558335
-149.8563604,59.86486959
-150.8319394,59.48415583
-151.2007559,59.76969115
-151.7361346,59.76969115
-151.3435235,60.15040491
-151.0698855,60.69768094
-150.3917391,60.89993513
-149.7135927,60.89993513
-149.6779008,61.26875158
-150.4750202,61.38772463
-151.5338804,61.24495697
-152.3904864,60.42404293
-153.1995031,59.8886642
-154.3297471,59.40087469
-154.3178498,58.97257171
-153.4017573,58.86549597
-154.210774,58.37770646
-155.8407048,57.62817624
-157.2207922,56.93813255
-158.7317499,56.14101312
-160.3497834,55.65322361
-161.8012546,55.23681793
-162.8363202,54.95128261
-163.3122124,54.93938531
-162.8720121,55.21302332
-162.2890441,55.6413263
-161.3610543,55.95065623
-160.5520376,55.92686162
-160.254605,56.27188347
-159.4812802,56.54552149
-158.7674419,56.89054333
-158.1963712,57.23556518
-157.4706356,57.91371156
-157.173203,58.29442533
-156.8281811,58.82980405
-156.9352569,59.00826363
-158.2201658,58.74652292
-158.1011928,59.12723668
-158.6246742,59.07964746
-159.005388,58.77031753
-159.6954316,58.98446902
-160.1594265,59.21051781
-160.956546,59.22241512
-161.5752058,58.65134448
-161.9083304,59.22241512
-161.5990005,59.72210193
-162.1462765,60.28127527
-163.6810288,59.97194533
-164.6566078,60.45973484
-164.5138402,60.94752435
-165.44183,61.26875158
-165.560803,61.63756804
-165.5132138,61.99448719
-164.3472779,62.91057968
-163.7167207,62.77970932
-163.0385744,62.88678507
-162.1462765,63.31508805
-160.9922379,63.33888266
-160.4568592,63.77908294
-160.8732648,64.29066706
-160.3497834,64.75466196
-161.075519,65.04019728
-162.5983741,64.79035387
-164.2164076,64.58809969
-166.143771,64.63568891
-166.0961818,65.06399189
-165.8463383,65.31383529
-167.0122742,65.67075444
-166.4293063,66.06336551
-164.2758941,66.55115502
-163.9070776,66.15854395
-163.5263639,65.96818707
-162.360428,65.99198168
-161.4324382,66.06336551
-160.801881,66.28941431
-160.0523508,66.277517
-160.0047616,66.71771729
-161.0636217,66.7415119
-161.3729517,67.00325261
-161.8488439,67.08653374
-163.4430827,67.20550679
-163.8118992,67.74088552
-165.6678788,68.20488041
-165.9415168,68.62128609
-164.3353806,68.71646453
-163.2646232,69.01389716
-162.4318118,69.76342737
-161.4681301,70.09655191
-159.397999,70.42967646
-158.9934906,70.40588185
-156.9233596,70.762801
-155.5432722,70.45347107
-153.7705737,70.70331447
-152.533254,70.40588185
-151.6647508,70.23931957
-150.7248637,70.02516808
-149.9039496,70.28690879
-147.2032614,69.88240042
-143.8244267,69.8229139
-141.9922418,69.5968651
-140.8922169,69.52476743
-139.4740582,69.42958899
-137.8560247,69.03935739
-137.1421864,68.8680362
-136.2475091,68.696715
-135.8667953,68.62057225
-135.5146351,68.3064834
-134.9150109,67.88769826
-134.2868332,67.62119863
-133.7443161,67.84962689
-133.5254057,68.28744771
-133.7728696,68.61105441
-134.5342971,68.98225033
-134.2582797,69.1059823
-133.5539592,69.28682133
-133.2874596,69.14405367
-133.3636023,68.95369679
-132.954335,68.98225033
-132.4213358,69.05839308
-131.3553372,69.26778565
-130.6129454,69.27730349
-129.7677608,69.44814879
-128.3043923,69.59091645
-127.3407106,69.9478356
-126.8767157,69.51953262
-125.913034,69.2339973
-124.8422766,69.19830538
-124.4496655,68.98415389
-123.4859838,68.94846198
-122.5223021,69.6979922
-121.3801608,69.59091645
-120.023868,68.94846198
-117.7098422,68.66887531
-116.1631925,67.95503701
-115.0924351,66.11095473
-108.6678904,61.58997882
-106.1099698,59.74589654
-99.68542508,51.65572912
-95.28342222,39.40150494
-91.53577113,30.41903964
-91.53577113,29.91935283
-92.65411781,29.82417439
-92.84447469,30.0859151
-93.89143753,29.88366092
-95.235833,29.28879566
-96.36607698,28.87238999
-97.46062904,28.26562743
-97.63908861,27.07589693
-97.65098592,26.10031792
-97.90082932,25.41027423
-97.93652124,24.82730628
-98.06739159,22.82855903
-97.88893202,21.71021236
-97.67478053,21.04396328
-96.67540691,19.92561661
-96.4136662,19.25936752
-95.9615686,18.75968071
-95.33101144,18.60501575
-94.86701654,18.35517234
-94.65286505,18.08153433
-93.71297795,18.14102085
-93.05862618,18.33137773
-92.15443099,18.42655617
-91.58336035,18.31948043
-91.2145439,18.70019419
-90.85762475,18.9738322
-90.5007056,19.52110824
-90.34604063,20.02079505
-90.2627595,20.57996838
-89.95342956,21.03206597
-89.0849263,21.25811477
-88.18073111,21.42467704
-87.22894671,21.31760129
-86.91961678,21.30570399
-87.01479522,20.81791448
-87.50258473,20.12787079
-87.71673622,19.73525973
-87.76432544,19.44972441
-87.59776317,19.00952412
-87.89519579,18.55742653
-87.9070931,18.91434568
-88.10934728,18.9619349
-88.32349878,18.70019419
-88.39999368,18.50258234
