lon,lat,prob
-160.84,61.0,0.7418671844495127
-160.4,59.89,0.7418671844495127
-158.61,60.66,0.7418671844495127
-158.24,59.54,0.7418671844495127
-156.73,61.42,0.7173431865601055
-156.42,60.29,0.7130293418575697
-156.16,59.17,0.7130293418575697
-154.52,61.01,0.5766229683951629
-152.7,62.84,0.6018555669405257
-152.53,61.7,0.566861958499831
-150.63,64.63,0.608489395570584
-150.54,63.51,0.608489395570584
-150.3,60.12,0.5856227762183682
-148.28,60.75,0.5996615936011526
-148.28,61.87,0.5451898398540458
-148.28,63.0,0.5451898398540458
-148.28,64.12,0.585619500456252
-148.28,65.25,0.5749540928906561
-146.53,61.26,0.603433529832952
-146.46,62.39,0.5451898398540458
-146.39,63.52,0.5991904618413341
-146.31,64.65,0.5930084990888453
-146.23,65.77,0.5856364845883367
-146.13,66.9,0.5814335058070434
-144.84,60.63,0.597137101161496
-144.72,61.76,0.5451898398540458
-144.58,62.89,0.5451898398540458
-144.43,64.02,0.603626546961136
-144.26,65.15,0.6064587205292159
-144.09,66.27,0.5970116005740022
-143.04,61.1,0.5451898398540458
-142.84,62.23,0.5451898398540458
-142.63,63.36,0.5969756632194609
-142.4,64.49,0.6013998970073825
-142.14,65.61,0.6036075567049057
-141.44,60.43,0.5801526612357345
-141.18,61.55,0.5499907595828591
-140.91,62.68,0.5859019674925527
-140.62,63.81,0.5851927257629526
-140.3,64.94,0.5891499213641396
-139.59,60.86,0.5458412396349153
-139.26,61.98,0.596827562826953
-138.91,63.1,0.6135320950716128
-138.53,64.23,0.5859019674925527
-138.13,65.35,0.5851927257629526
-138.07,60.14,0.5551043840673004
-137.69,61.26,0.5430106024069175
-137.29,62.38,0.5801526612357345
-136.86,63.5,0.6051780487464256
-136.61,59.41,0.5334558949548784
-136.4,64.61,0.6135320950716128
-136.2,60.53,0.5150197360598961
-135.75,61.64,0.5333075308628051
-135.27,62.75,0.5613109465757201
-135.22,58.67,0.5159252414416109
-134.77,59.77,0.5210154268260752
-134.76,63.86,0.59202140733105
-134.28,60.88,0.5152208503429819
-133.76,61.99,0.5160780431977866
-133.42,59.01,0.5373178604062887
-133.2,63.09,0.5324816087810466
-132.9,60.11,0.5245584166058976
-132.35,61.21,0.5160719832186654
-132.25,57.2,0.5805228381635126
-132.14,58.23,0.5631237854101537
-131.75,62.31,0.5150588860620734
-131.59,59.32,0.5467211117794296
-131.0,60.42,0.5291888576621656
-130.66,56.48,0.6143426273918777
-130.5,57.5,0.5908712222532047
-130.37,61.51,0.5217552188602032
-130.33,58.52,0.5732802623756594
-129.72,59.61,0.5550131471056332
-129.31,54.71,0.6672037681500611
-129.13,55.73,0.6465050739218389
-129.06,60.7,0.5377598408174875
-128.93,56.75,0.6253628666304704
-128.72,57.78,0.6006477930326277
-128.5,58.8,0.5792903270315051
-128.09,52.92,0.7073043597452924
-127.87,53.95,0.6945312400025873
-127.82,59.88,0.5662560071755617
-127.65,54.97,0.6775150680317045
-127.42,55.99,0.6563505065629158
-127.17,57.01,0.6332032984735902
-126.97,51.12,0.507136678208742
-126.91,58.03,0.6098409042679084
-126.73,52.15,0.7173122581319418
-126.64,59.04,0.5879886548282129
-126.48,53.17,0.7108503604585146
-126.23,54.19,0.6999757932364126
-125.96,55.2,0.6850770500755164
-125.68,56.22,0.6660295416645877
-125.67,50.35,0.5368868029573985
-125.42,51.36,0.7242299976783628
-125.39,57.24,0.643505066051091
-125.14,52.38,0.7173122581319418
-125.08,58.25,0.620270709800867
-124.86,53.4,0.7155801093591766
-124.57,54.41,0.7049424788343273
-124.42,49.56,0.5650648393103872
-124.26,55.42,0.6915010410623329
-124.14,50.57,0.7263958177997552
-123.93,56.43,0.6734703181289309
-123.85,51.58,0.7250518538772585
-123.73,46.72,0.6978250579159841
-123.7,41.92,0.49871209931192584
-123.54,52.59,0.7176717585528795
-123.45,47.73,0.7114996794661166
-123.41,42.89,0.5452154505586493
-123.22,53.59,0.7174279277783843
-123.16,48.74,0.5260972042712475
-123.1,43.87,0.6027584065875673
-123.04,39.99,0.404763943971194
-122.89,54.6,0.709861922435142
-122.86,49.74,0.7257179816375842
-122.83,44.88,0.6451845234354995
-122.64,41.11,0.45233962203336053
-122.55,45.89,0.6813267491373061
-122.54,50.75,0.7263406028092679
-122.54,55.61,0.6977817675724768
-122.42,38.05,0.37343606248217304
-122.34,42.09,0.49773775185571945
-122.25,46.9,0.697099777892075
-122.21,51.77,0.7250319980898067
-122.02,39.18,0.35042353114602326
-122.02,43.07,0.5439138903462406
-121.94,47.9,0.7118417945434626
-121.86,52.77,0.7183707535432766
-121.7,44.04,0.6073152690422112
-121.62,48.91,0.724472060188377
-121.61,40.3,0.40937923924518055
-121.5,53.77,0.7176157478184874
-121.44,37.23,0.40447092353474284
-121.4,45.04,0.6531274648630808
-121.3,41.28,0.4540746536341651
-121.28,49.91,0.7257179816375842
-121.08,46.05,0.6866802451849335
-121.03,38.36,0.38609063430630963
-120.97,42.25,0.4969509542493281
-120.93,50.92,0.726335716266626
-120.76,47.05,0.7009674386188955
-120.63,43.22,0.5430124475679133
-120.61,39.48,0.3694778240649519
-120.55,51.93,0.7253494874190406
-120.48,36.41,0.4346487366513194
-120.42,48.06,0.7157178492535184
-120.28,40.45,0.3508748281455677
-120.28,44.19,0.6174830861571702
-120.17,52.93,0.7197586744314218
-120.07,49.05,0.7246695494877765
-120.06,37.53,0.4155996320255481
-119.96,45.19,0.6603370389930774
-119.94,41.42,0.45222751724893323
-119.69,50.06,0.7257179816375842
-119.63,38.66,0.39903552919256735
-119.61,46.19,0.6922631979079431
-119.59,42.39,0.49521619123927996
-119.52,35.57,0.5036107015558696
-119.29,39.62,0.3792388684476784
-119.26,47.19,0.7040667853080591
-119.11,36.7,0.46982378950398224
-118.94,40.59,0.3648684406182538
-118.67,37.82,0.43372033243931374
-118.59,34.72,0.5630671130980793
-118.32,38.78,0.41626648507093994
-118.17,35.85,0.532965867953201
-117.96,39.74,0.39795982460057644
-117.73,36.98,0.49993210341967914
-117.69,33.88,0.6137263805650884
-117.37,37.94,0.46811262101581264
-117.26,35.0,0.5781812040882787
-117.01,38.89,0.43901542182935316
-116.82,36.13,0.5568241615295917
-116.81,33.03,0.6502188097915471
-116.44,37.07,0.5325774936274169
-116.37,34.15,0.6318813763802624
-116.07,38.03,0.5029194108725439
-115.94,32.17,0.64433347843673
-115.92,35.27,0.609893370113166
-115.54,36.21,0.5781812040882787
-115.53,30.18,0.5702990761928823
-115.5,33.29,0.6626700862390258
-115.15,37.16,0.5591706341682474
-115.09,31.3,0.5775622371416425
-115.04,34.41,0.6469493557791798
-114.71,29.31,0.5988301922552819
-114.65,35.35,0.6309567201957278
-114.64,32.42,0.6198466103223926
-114.26,36.29,0.6124564629980243
-114.2,27.68,0.6050359623331952
-114.18,33.54,0.6622863453499509
-113.83,28.62,0.6173077007214622
-113.79,34.47,0.6615077475448821
-113.39,35.41,0.6486624856137863
-113.34,26.99,0.5814732397772208
-113.34,32.66,0.6025057772031296
-112.94,33.59,0.620284647275403
-112.53,34.53,0.6514948815241116
-112.51,31.78,0.5883942688405096
-112.18,29.78,0.5878868392692034
-112.11,32.71,0.5896917171932013
-111.7,30.89,0.5862419851892501
-111.7,33.64,0.602161852301294
-111.31,29.07,0.5820026039655178
-111.29,31.82,0.5864939947488882
-110.96,24.5,0.7370928582755906
-110.91,30.0,0.5799073164454582
-110.88,32.75,0.5883942688405096
-110.53,28.18,0.5774546082603432
-110.49,30.93,0.5820026039655178
-110.22,23.6,0.7614681770870623
-110.12,29.1,0.5820026039655178
-110.07,31.85,0.5862419851892501
-109.77,27.28,0.5710245651220958
-109.63,30.2,0.5788078441210573
-109.36,28.2,0.5768821856624349
-109.01,26.38,0.5988301922552819
-108.6,27.3,0.5687279949048732
-108.27,25.47,0.6176376411853539
-107.86,26.39,0.6093634003304399
-107.54,24.56,0.5928563579241768
-107.13,25.48,0.6092812679440219
-105.14,19.95,0.5609666625049722
-104.72,20.87,0.7404901627350569
