lon,lat,prob
-81.03,-4.78,0.8210477158554907
-80.63,-3.82,0.8387417841303259
-80.47,-0.95,0.6229981621695015
-80.41,-5.74,0.818205974882448
-80.02,-4.78,0.8227118665255213
-79.86,-1.91,0.8014378943857866
-79.8,-6.69,0.8608892694394705
-79.63,-3.82,0.8394948443228287
-79.48,-0.95,0.593510552727816
-79.48,0.95,0.3490070632900684
-79.41,-5.73,0.818580821164893
-79.25,-2.86,0.7734960578032912
-79.19,-7.65,0.9039603156998439
-79.1,0.0,0.42903158218462556
-79.02,-4.77,0.8229386320229649
-78.87,-1.91,0.6321337227258055
-78.79,-6.69,0.864020695562123
-78.63,-3.82,0.8422743436001177
-78.56,-8.59,0.9212196542412145
-78.49,-0.95,0.5118411020556144
-78.49,0.95,0.30178138994909076
-78.4,-5.73,0.8268082302964007
-78.25,-2.87,0.7698428226770101
-78.18,-7.64,0.9018743247452627
-78.11,0.0,0.3872631167593999
-78.02,-4.77,0.8234485568273355
-77.94,-9.54,0.9110371551802374
-77.87,-1.91,0.6515308236038885
-77.87,1.91,0.695647023954527
-77.79,-6.68,0.9024414375693385
-77.64,-3.82,0.8428952178371402
-77.55,-8.58,0.9137972187519425
-77.49,-0.95,0.4816667571840791
-77.49,0.95,0.39257021656919994
-77.4,-5.73,0.8608892694394705
-77.28,-10.5,0.904333291714963
-77.26,-2.86,0.7671282422344199
-77.26,2.86,0.71469008826323
-77.17,-7.63,0.9202029635391185
-77.17,7.63,0.895689567055825
-77.11,0.0,0.31161732810467513
-77.02,-4.77,0.8249495394175967
-77.02,4.77,0.7228710440448654
-76.9,-9.55,0.9067689389253145
-76.88,-1.91,0.6084114595190184
-76.88,1.91,0.7331251616258803
-76.79,-6.68,0.9042175469021052
-76.79,6.68,0.7239433603474109
-76.64,3.82,0.6990775342652458
-76.62,-11.47,0.9018301017186486
-76.51,-8.6,0.9115643766811313
-76.51,8.6,0.8652699604423055
-76.5,-0.95,0.4103755736317914
-76.5,0.95,0.7374320479389596
-76.41,5.72,0.7300438505700276
-76.26,2.86,0.71469008826323
-76.23,-10.51,0.8957542397894228
-76.12,-7.63,0.9196746615459462
-76.12,0.0,0.39259144535350643
-76.12,7.63,0.7253233256073636
-76.03,4.77,0.725116617130678
-75.95,-12.44,0.8419201224909519
-75.89,1.91,0.71469008826323
-75.85,-9.56,0.9043338330888944
-75.74,6.68,0.7260022789425334
-75.67,-14.36,0.8671451145703457
-75.65,3.82,0.7276480728946909
-75.57,-11.48,0.8976685229274376
-75.51,0.95,0.7275304298983732
-75.47,-8.59,0.9061820488454148
-75.47,8.59,0.9101379693090698
-75.37,5.72,0.7088532507445533
-75.32,-46.59,0.24312098502631366
-75.28,-13.4,0.8724104278896454
-75.27,2.86,0.7088318744486487
-75.19,-10.52,0.9022942463608183
-75.19,10.52,0.9936823878501683
-75.08,7.63,0.7303713131900229
-75.05,-48.49,0.16299402966780527
-74.99,-15.32,0.8613430632261031
-74.99,4.77,0.714720227565477
-74.9,-12.44,0.8326200015933475
