age,lon,lat,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
0.0,-72.0,-39.93,283.0,-72.0,-39.93,0.04,780.0,-75.01,-39.99,8.91,-9.13,1.65,160.46,0.18,88.38,911.0,201.0,11.81,11.81,8.79,-1.41,-1.55,0.55,-7.29,-6.72,7.24,-0.85,22.88,0.09,103.31,78.79,1.63
0.0,-71.98,-39.31,283.0,-71.98,-39.31,0.039,791.0,-74.83,-38.93,8.93,-23.02,1.67,146.92,0.14,102.22,911.0,201.0,12.88,12.88,8.22,-3.49,-1.4,0.91,-7.29,-20.67,6.82,-2.57,26.92,0.07,107.08,85.84,1.73
0.0,-71.97,-39.35,283.0,-71.97,-39.35,0.039,791.0,-74.83,-38.93,8.93,-23.02,1.67,146.92,0.14,102.22,911.0,201.0,12.88,12.88,8.22,-3.49,-1.4,0.91,-7.29,-20.67,6.82,-2.57,26.92,0.07,107.08,85.84,1.73
0.0,-71.97,-39.38,283.0,-71.97,-39.38,0.039,791.0,-74.83,-38.93,8.93,-23.02,1.67,146.92,0.14,102.22,911.0,201.0,12.88,12.88,8.22,-3.49,-1.4,0.91,-7.29,-20.67,6.82,-2.57,26.92,0.07,107.08,85.84,1.73
0.0,-71.954,-40.708,283.0,-71.954,-40.708,0.041,781.0,-75.01,-40.51,8.89,-17.82,1.64,151.63,0.15,97.06,911.0,201.0,11.29,11.29,8.46,-2.72,-1.44,0.78,-7.29,-15.4,7.03,-1.94,20.52,0.07,99.9,73.42,1.49
0.0,-71.95,-39.39,283.0,-71.95,-39.39,0.04,791.0,-74.83,-38.93,8.93,-23.02,1.67,146.92,0.14,102.22,911.0,201.0,12.88,12.88,8.22,-3.49,-1.4,0.91,-7.29,-20.67,6.82,-2.57,26.92,0.07,107.08,85.84,1.73
0.0,-71.95,-39.4,283.0,-71.95,-39.4,0.04,791.0,-74.83,-38.93,8.93,-23.02,1.67,146.92,0.14,102.22,911.0,201.0,12.88,12.88,8.22,-3.49,-1.4,0.91,-7.29,-20.67,6.82,-2.57,26.92,0.07,107.08,85.84,1.73
0.0,-71.82,-39.2,283.0,-71.82,-39.2,0.041,793.0,-74.74,-38.62,8.94,-24.45,1.68,145.61,0.17,103.61,911.0,201.0,13.21,13.21,8.14,-3.7,-1.38,0.95,-7.29,-22.12,6.76,-2.75,26.92,0.08,107.08,85.84,1.73
0.0,-71.81,-39.27,283.0,-71.81,-39.27,0.041,792.0,-74.79,-38.78,8.93,-24.46,1.67,145.53,0.17,103.64,911.0,201.0,13.04,13.04,8.13,-3.7,-1.38,0.95,-7.29,-22.12,6.76,-2.75,26.92,0.08,107.08,85.84,1.73
0.0,-71.667,-40.758,283.0,-71.667,-40.758,0.044,781.0,-75.01,-40.51,8.89,-17.82,1.64,151.63,0.15,97.06,911.0,201.0,11.29,11.29,8.46,-2.72,-1.44,0.78,-7.29,-15.4,7.03,-1.94,20.52,0.07,99.9,73.42,1.49
0.0,-71.62,-38.75,283.0,-71.62,-38.75,0.042,794.0,-74.69,-38.45,8.94,-24.44,1.68,145.68,0.17,103.58,911.0,201.0,13.37,13.37,8.14,-3.7,-1.39,0.95,-7.29,-22.12,6.76,-2.75,30.48,0.09,104.31,91.3,1.73
0.0,-71.6,-38.4,283.0,-71.6,-38.4,0.042,796.0,-74.66,-38.29,8.95,-13.18,1.68,156.99,0.16,92.31,911.0,201.0,13.54,13.54,8.71,-2.04,-1.55,0.66,-7.29,-10.87,7.16,-1.38,30.48,0.09,104.31,91.3,1.73
0.0,-71.53,-38.36,283.0,-71.53,-38.36,0.043,796.0,-74.66,-38.29,8.95,-13.18,1.68,156.99,0.16,92.31,911.0,201.0,13.54,13.54,8.71,-2.04,-1.55,0.66,-7.29,-10.87,7.16,-1.38,30.48,0.09,104.31,91.3,1.73
