,lat,lon,recon_lon,recon_lat,age,prob,method
0,-30.0,-69.09,-69.09,-30.0,0.0,1.0,Decision_Tree
1,7.63,-77.17,-77.17,7.63,0.0,1.0,Decision_Tree
2,-7.63,-77.17,-77.17,-7.63,0.0,1.0,Decision_Tree
3,-22.56,-66.04,-66.04,-22.56,0.0,1.0,Decision_Tree
4,-15.31,-71.8,-71.8,-15.31,0.0,1.0,Decision_Tree
5,-37.36,-72.65,-72.65,-37.36,0.0,1.0,Decision_Tree
6,-52.43,-69.55,-69.55,-52.43,0.0,1.0,Decision_Tree
7,0.0,-78.11,-78.11,0.0,0.0,1.0,Decision_Tree
8,3.82,-75.65,-75.65,3.82,0.0,0.0,Decision_Tree
9,7.62,-72.99,-72.99,7.62,0.0,1.0,Decision_Tree
10,-3.82,-79.63,-79.63,-3.82,0.0,1.0,Decision_Tree
11,-26.29,-67.52,-67.52,-26.29,0.0,1.0,Decision_Tree
12,-18.96,-68.98,-68.98,-18.96,0.0,1.0,Decision_Tree
13,-11.48,-74.52,-74.52,-11.48,0.0,1.0,Decision_Tree
14,-33.69,-70.79,-70.79,-33.69,0.0,1.0,Decision_Tree
15,-44.75,-71.2,-71.2,-44.75,0.0,1.0,Decision_Tree
16,-41.04,-69.24,-69.24,-41.04,0.0,1.0,Decision_Tree
17,-48.57,-73.54,-73.54,-48.57,0.0,1.0,Decision_Tree
18,0.0,-76.12,-76.12,0.0,0.0,1.0,Decision_Tree
19,1.91,-74.89,-74.89,1.91,0.0,0.0,Decision_Tree
20,1.91,-76.88,-76.88,1.91,0.0,1.0,Decision_Tree
21,5.72,-76.41,-76.41,5.72,0.0,0.0,Decision_Tree
22,5.72,-74.32,-74.32,5.72,0.0,0.0,Decision_Tree
23,7.63,-75.08,-75.08,7.63,0.0,1.0,Decision_Tree
24,3.8,-73.57,-73.57,3.8,0.0,0.0,Decision_Tree
25,11.47,-72.4,-72.4,11.47,0.0,1.0,Decision_Tree
26,9.55,-73.75,-73.75,9.55,0.0,1.0,Decision_Tree
27,-1.91,-76.88,-76.88,-1.91,0.0,1.0,Decision_Tree
28,-1.91,-78.87,-78.87,-1.91,0.0,1.0,Decision_Tree
29,-5.73,-78.4,-78.4,-5.73,0.0,1.0,Decision_Tree
