lon,lat,prob
-160.84,61.0,0.7646130426902676
-160.4,59.89,0.7646130426902676
-158.61,60.66,0.7646130426902676
-158.24,59.54,0.7646130426902676
-156.73,61.42,0.7614966202821424
-156.42,60.29,0.7617027174169327
-156.16,59.17,0.7616938156646142
-154.52,61.01,0.6575564391976808
-152.7,62.84,0.6820123622484237
-152.53,61.7,0.696653288230426
-150.63,64.63,0.6875460853569951
-150.54,63.51,0.6875460853569951
-150.3,60.12,0.6735245707664138
-148.28,60.75,0.6628855407006995
-148.28,61.87,0.6115447499378917
-148.28,63.0,0.6115447499378917
-148.28,64.12,0.6774189114569485
-148.28,65.25,0.6792339429768917
-146.53,61.26,0.6622026084657943
-146.46,62.39,0.6115447499378917
-146.39,63.52,0.6637790131887352
-146.31,64.65,0.6678500409865933
-146.23,65.77,0.6731478031486104
-146.13,66.9,0.6779252504850216
-144.84,60.63,0.6525442065161645
-144.72,61.76,0.6115447499378917
-144.58,62.89,0.6115447499378917
-144.43,64.02,0.6623947740843671
-144.26,65.15,0.6636887727902454
-144.09,66.27,0.6641991123090943
-143.04,61.1,0.6115447499378917
-142.84,62.23,0.6115447499378917
-142.63,63.36,0.6525442065161645
-142.4,64.49,0.6565787294420964
-142.14,65.61,0.6589207479468268
-141.44,60.43,0.6370208486775575
-141.18,61.55,0.6581053250096651
-140.91,62.68,0.6451302433443842
-140.62,63.81,0.644891558967585
-140.3,64.94,0.6490618187132626
-139.59,60.86,0.7083178687164181
-139.26,61.98,0.6399562628056091
-138.91,63.1,0.6453643210558162
-138.53,64.23,0.6440164496417253
-138.13,65.35,0.644891558967585
-138.07,60.14,0.7153038602961265
-137.69,61.26,0.6302717974795423
-137.29,62.38,0.6369830697714437
-136.86,63.5,0.6434251938615112
-136.61,59.41,0.7044696187272295
-136.4,64.61,0.6453643210558162
-136.2,60.53,0.6346863077909103
-135.75,61.64,0.6278572843190592
-135.27,62.75,0.6339267722525428
-135.22,58.67,0.7291641397933314
-134.77,59.77,0.6345205553303853
-134.76,63.86,0.6396230872512583
-134.28,60.88,0.6386890446197326
-133.76,61.99,0.6339067362547361
-133.42,59.01,0.663915424722399
-133.2,63.09,0.6293312593499316
-132.9,60.11,0.6413923976769795
-132.35,61.21,0.6372628862641263
-132.25,57.2,0.7323842538677432
-132.14,58.23,0.7008984392422623
-131.75,62.31,0.6377683985204906
-131.59,59.32,0.676616513286654
-131.0,60.42,0.6531823004478796
-130.66,56.48,0.7534527540320617
-130.5,57.5,0.7365067014315385
-130.37,61.51,0.6349739940912206
-130.33,58.52,0.7201563899753968
-129.72,59.61,0.6893423464042986
-129.31,54.71,0.7729994655630011
-129.13,55.73,0.7658746112716802
-129.06,60.7,0.6641096888788421
-128.93,56.75,0.7577123848132626
-128.72,57.78,0.7465907798587921
-128.5,58.8,0.7322530210381899
-128.09,52.92,0.7875084444246867
-127.87,53.95,0.7843869005199777
-127.82,59.88,0.7031496820388218
-127.65,54.97,0.7770216569065425
-127.42,55.99,0.7699145235731687
-127.17,57.01,0.761222824507296
-126.97,51.12,0.6028109368170285
-126.91,58.03,0.7506164619820818
-126.73,52.15,0.7963019443608036
-126.64,59.04,0.7341924099939738
-126.48,53.17,0.788084541443864
-126.23,54.19,0.7857604854970284
-125.96,55.2,0.7815900020948706
-125.68,56.22,0.7725826986789457
-125.67,50.35,0.6028833463353955
-125.42,51.36,0.7893581453087677
-125.39,57.24,0.7655265057079945
-125.14,52.38,0.7963019443608036
-125.08,58.25,0.7558140117924924
-124.86,53.4,0.7891294887660417
-124.57,54.41,0.7871651305938795
-124.42,49.56,0.5976737053568658
-124.26,55.42,0.7834114945275701
-124.14,50.57,0.7798088860890702
-123.93,56.43,0.7752136505970643
-123.85,51.58,0.7885443984942526
-123.73,46.72,0.7925035548132242
-123.7,41.92,0.7817441122322076
-123.54,52.59,0.7957458301144698
-123.45,47.73,0.7801415069397887
-123.41,42.89,0.7899722266834336
-123.22,53.59,0.7891123187462251
-123.16,48.74,0.5733846578730376
-123.1,43.87,0.8072301473843414
-123.04,39.99,0.7594140551159786
-122.89,54.6,0.7880721706365069
-122.86,49.74,0.7716002406365202
-122.83,44.88,0.8050407769008117
-122.64,41.11,0.7722200459990579
-122.55,45.89,0.798454129283455
-122.54,50.75,0.7779932898871441
-122.54,55.61,0.7854402794415075
-122.42,38.05,0.6347958418956213
-122.34,42.09,0.7817113724685214
-122.25,46.9,0.788264684064488
-122.21,51.77,0.7879628898772612
-122.02,39.18,0.6240191413595023
-122.02,43.07,0.7898108873053548
-121.94,47.9,0.7785630536244835
-121.86,52.77,0.7950420367185519
-121.7,44.04,0.8068194926912688
-121.62,48.91,0.7677460759648408
-121.61,40.3,0.7595417695009572
-121.5,53.77,0.7900626239067905
-121.44,37.23,0.6429553621529155
-121.4,45.04,0.8039486885193903
-121.3,41.28,0.7727284512265297
-121.28,49.91,0.7716002406365202
-121.08,46.05,0.7972595034186828
-121.03,38.36,0.6399474040200992
-120.97,42.25,0.7816763341580575
-120.93,50.92,0.7766660628419014
-120.76,47.05,0.7866103684649126
-120.63,43.22,0.7896306142586844
-120.61,39.48,0.6307190068436419
-120.55,51.93,0.7872987922654964
-120.48,36.41,0.6683552216549473
-120.42,48.06,0.7760443842473653
-120.28,40.45,0.6244606840691321
-120.28,44.19,0.8062477726117343
-120.17,52.93,0.794766792890512
-120.07,49.05,0.7675409175523927
-120.06,37.53,0.6553550201071542
-119.96,45.19,0.8023258114623879
-119.94,41.42,0.7727284512265297
-119.69,50.06,0.7716002406365202
-119.63,38.66,0.6508678040967429
-119.61,46.19,0.7962515486564712
-119.59,42.39,0.7815641357127767
-119.52,35.57,0.6935696264900771
-119.29,39.62,0.6382641671389034
-119.26,47.19,0.7838468952540129
-119.11,36.7,0.6814133153812473
-118.94,40.59,0.6295739163455623
-118.67,37.82,0.6673768760398066
-118.59,34.72,0.7183646784117289
-118.32,38.78,0.6546409513357581
-118.17,35.85,0.7035429741859212
-117.96,39.74,0.6512041659697755
-117.73,36.98,0.690491566341019
-117.69,33.88,0.7392004760745501
-117.37,37.94,0.6804099281775341
-117.26,35.0,0.7267139481134951
-117.01,38.89,0.6676780521029325
-116.82,36.13,0.7135884947610923
-116.81,33.03,0.7510554704780051
-116.44,37.07,0.7032601315346502
-116.37,34.15,0.7448148216699854
-116.07,38.03,0.6915480788964788
-115.94,32.17,0.7620828009358072
-115.92,35.27,0.7365000806981873
-115.54,36.21,0.7267139481134951
-115.53,30.18,0.7662134362768659
-115.5,33.29,0.7568405155515889
-115.15,37.16,0.7154035233215836
-115.09,31.3,0.7715036670238284
-115.04,34.41,0.7501613876295479
-114.71,29.31,0.7514681618321994
-114.65,35.35,0.744211853733444
-114.64,32.42,0.7658005435383033
-114.26,36.29,0.7390024903580804
-114.2,27.68,0.7044058205848646
-114.18,33.54,0.7615722158435109
-113.83,28.62,0.735379298253747
-113.79,34.47,0.7560131797748423
-113.39,35.41,0.7511650802925839
-113.34,26.99,0.6544948232428908
-113.34,32.66,0.7666683653236223
-112.94,33.59,0.7658137358451375
