lon,lat,prob
-161.92,55.22,0.9836902894545613
-160.84,61.0,0.9885395034636277
-160.62,55.89,0.9872091770330299
-160.4,59.89,0.9884185905388481
-159.28,56.54,0.986001360236349
-158.99,61.79,0.9884953412957647
-158.61,60.66,0.9831543838482719
-158.24,59.54,0.9841680518524032
-157.63,57.31,0.9861523761798728
-157.05,62.55,0.9890895468478054
-156.73,61.42,0.9827871918461946
-156.42,60.29,0.9829841824586686
-156.16,59.17,0.9836223785971719
-155.91,58.05,0.9844721889673269
-155.02,63.28,0.9860345314578673
-154.76,62.14,0.9807118894579315
-154.52,61.01,0.9825786798026677
-154.31,59.89,0.9829477842064352
-154.12,58.77,0.9832103652029683
-153.07,65.1,0.9878593103893959
-152.88,63.98,0.9867529839993031
-152.7,62.84,0.9808843684887286
-152.53,61.7,0.9806678420493504
-152.38,60.58,0.9808673126036155
-150.74,65.76,0.9896041572477399
-150.63,64.63,0.9895727107255896
-150.54,63.51,0.9810936422188908
-150.45,62.37,0.9809915975480366
-150.3,60.12,0.9806935257794137
-148.28,60.75,0.9807626969427742
-148.28,61.87,0.9810905280463217
-148.28,63.0,0.9823495888601783
-148.28,64.12,0.9824192561302005
-148.28,65.25,0.9824249435853732
-148.28,66.38,0.9898741470827479
-146.53,61.26,0.9810951803104809
-146.46,62.39,0.9823742263762546
-146.39,63.52,0.9824271262707366
-146.31,64.65,0.9824649232564243
-146.23,65.77,0.9824649232564243
-144.84,60.63,0.981085222245357
-144.72,61.76,0.9824383833151338
-144.58,62.89,0.9824622954129285
-144.43,64.02,0.9824649232564243
-144.26,65.15,0.9824649232564243
-144.09,66.27,0.9898741470827479
-143.04,61.1,0.9792998100991763
-142.84,62.23,0.9802406459475836
-142.63,63.36,0.9824649232564243
-142.4,64.49,0.9824649232564243
-142.14,65.61,0.9824649232564243
-141.86,66.74,0.9898741470827479
-141.44,60.43,0.9797875172561167
-141.18,61.55,0.9794610632594423
-140.91,62.68,0.9801851205635702
-140.62,63.81,0.9801851205635702
-140.3,64.94,0.9801851205635702
-139.94,66.05,0.9849807370032986
-139.59,60.86,0.9794281144553652
-139.26,61.98,0.9794610632594423
-138.91,63.1,0.9801851205635702
-138.53,64.23,0.9801851205635702
-138.13,65.35,0.9801851205635702
-138.07,60.14,0.9785575676204954
-137.69,61.26,0.978934198752583
-137.29,62.38,0.9794610632594423
-136.86,63.5,0.9801851205635702
-136.61,59.41,0.9762162096145971
-136.4,64.61,0.9801851205635702
-136.2,60.53,0.9787456390693106
-135.89,65.73,0.9849807370032986
-135.75,61.64,0.9788822342498683
-135.27,62.75,0.9795003360063164
-135.22,58.67,0.9746966515317045
-134.77,59.77,0.9763932915981806
-134.76,63.86,0.9801851205635702
-134.28,60.88,0.9784536173176422
-133.76,61.99,0.9804528394696367
-133.42,59.01,0.978486140529331
-133.2,63.09,0.9795376076215256
-132.9,60.11,0.9762363307297125
-132.35,61.21,0.9786140519270695
-132.25,57.2,0.9780006669798421
-132.14,58.23,0.9722651278239735
-131.75,62.31,0.9785575676204954
-131.59,59.32,0.978486140529331
-131.0,60.42,0.9763092217880934
-130.66,56.48,0.9775714770556683
-130.5,57.5,0.9780042791609251
-130.33,58.52,0.9722651278239735
-129.72,59.61,0.978486140529331
-129.31,54.71,0.9874328085832329
-129.13,55.73,0.9869048496478011
-128.93,56.75,0.9775589018493314
-128.72,57.78,0.9779953866205894
-128.5,58.8,0.9722651278239735
-128.09,52.92,0.9855254303551303
-127.87,53.95,0.985959061537918
-127.65,54.97,0.9867617154189727
-127.42,55.99,0.9874873284148578
-127.17,57.01,0.9774643596126237
