index,lon,lat,age
246,-125.36,55.53,200
247,-126.73,57.23,201
248,-126.67,57.2,202
249,-120.99,50.5,203
250,-120.98,50.48,203
251,-130.34,57.74,205
252,-130.26,57.66,205
253,-130.29,57.76,205
254,-130.17,57.68,205
255,-117.5,38.33,207
256,-120.99,50.42,208
257,-120.94,50.51,208
258,-120.85,50.32,208
259,-120.99,50.54,208
260,-121.02,50.56,208
261,-120.99,50.43,208
262,-120.91,50.44,208
263,-121.04,50.45,208
264,-120.96,50.37,208
265,-120.96,50.38,208
266,-122.29,52.52,210
267,-121.05,50.49,210
268,-121,50.43,210
269,-131.88,58.24,218
270,-126.68,57.22,221
271,-130.99,57.36,222
